epoch,train_loss,val_loss,val_iou
1,1.0759580499596066,1.098942518234253,0.26689127278362157
2,1.0716418193446264,1.0767980515956879,0.3063121868604357
3,1.0617476834191217,1.0757701098918915,0.3072083282216115
4,1.0667945047219594,1.0820198953151703,0.2739909115209406
5,1.0585110750463274,1.0818109810352325,0.27295617142455497
6,1.0439096225632563,1.045947015285492,0.3074097080485744
7,1.0315850873788197,1.032249554991722,0.3041964605696018
8,1.0284301804171667,1.0225151181221008,0.3345735492320783
9,1.016066203514735,1.0239157527685165,0.2993622304084161
10,1.0034532513883379,1.0125453174114227,0.3336534767575233
11,0.9973845746782091,1.0168342292308807,0.2915399635094441
12,0.9911130964756012,1.000605821609497,0.32460188613846436
13,0.9887181884712644,1.0250589102506638,0.25857488635688963
14,0.9754440950022804,0.984011709690094,0.34422779079457844
15,0.9697297579712338,0.9866735935211182,0.3162974654837141
16,0.9662205278873444,0.9670122861862183,0.3264690834672697
17,0.954076005352868,0.959659680724144,0.34998009929397533
18,0.9544582234488593,0.9647324532270432,0.3100948521319353
19,0.958283543586731,0.9658567607402802,0.34245450222618284
20,0.9389883048004575,0.9646851867437363,0.31118524065622044
21,0.9261515140533447,0.940935879945755,0.3506720621428004
22,0.9146656956937578,0.9374143779277802,0.3545824579831157
23,0.9051366481516097,0.9175650626420975,0.3614640177352572
24,0.8940533830059899,0.9350133985280991,0.2857697263229349
25,0.9070621894465553,0.9083693623542786,0.32632923972451083
26,0.876935578054852,0.9070054292678833,0.3503450043792377
27,0.8758198089069791,0.8947729766368866,0.3703874336360032
28,0.8706820607185364,0.8960950076580048,0.35400288125121343
29,0.8589236471388075,0.883027657866478,0.38394834378414794
30,0.8687463800112406,0.8750538229942322,0.38906637421314394
