path,type,width,height,bands,dtype,crs
data/raw/PRE-event/10500500C4DD7000_0_41_59.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_45_64.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_32_59.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_38_61.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_36_60.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_36_68.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_45_68.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_20_68.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_38_69.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_29_70.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_35_63.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_23_63.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_17_66.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_19_63.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_19_67.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_28_63.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_43_62.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_30_62.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_30_66.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/PRE-event/10500500C4DD7000_0_26_62.tif,pre,1300,1300,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_41_59.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_45_64.tif,post,786,785,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_32_59.tif,post,785,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_38_61.tif,post,785,785,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_36_60.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_36_68.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_45_68.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_20_68.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_38_69.tif,post,785,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_29_70.tif,post,785,785,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_35_63.tif,post,785,786,3,uint8,EPSG:4326
data/raw/POST-event/1040050035DC3B00_0_23_63.tif,post,1742,1742,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_17_66.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/1040050035DC3B00_0_19_63.tif,post,1743,1742,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_19_67.tif,post,786,785,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_28_63.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_43_62.tif,post,785,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_30_62.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_30_66.tif,post,786,786,3,uint8,EPSG:4326
data/raw/POST-event/10500500E6DD3C00_0_26_62.tif,post,785,786,3,uint8,EPSG:4326
