path,mean,std,min,max,height,width,zero_ratio,status
data/raw/POST-event/10500500E6DD3C00_0_41_59.tif,89.63090515136719,38.768455505371094,0.0,255.0,786,786,0.0025461479193779175,OK
data/raw/POST-event/10500500E6DD3C00_0_45_64.tif,13.961822509765625,17.257604598999023,0.0,105.0,785,786,0.07799873583896533,OK
data/raw/POST-event/10500500E6DD3C00_0_32_59.tif,20.34192657470703,16.00509262084961,0.0,108.0,786,785,0.0018573442893956337,OK
data/raw/POST-event/10500500E6DD3C00_0_38_61.tif,47.45607376098633,32.49726867675781,0.0,193.0,785,785,0.00022394417623432998,OK
data/raw/POST-event/10500500E6DD3C00_0_36_60.tif,146.20907592773438,51.855106353759766,0.0,241.0,786,786,0.0050825838950074136,OK
data/raw/POST-event/10500500E6DD3C00_0_36_68.tif,46.84699249267578,24.478214263916016,0.0,207.0,786,786,0.005378798179334279,OK
data/raw/POST-event/10500500E6DD3C00_0_45_68.tif,49.3392219543457,28.539915084838867,0.0,249.0,786,786,0.005134380928332329,OK
data/raw/POST-event/10500500E6DD3C00_0_20_68.tif,25.97665023803711,13.609354972839355,0.0,126.0,786,786,0.00386535361187188,OK
data/raw/POST-event/10500500E6DD3C00_0_38_69.tif,41.18762969970703,28.779521942138672,0.0,255.0,786,785,0.0025753229283155864,OK
data/raw/POST-event/10500500E6DD3C00_0_29_70.tif,41.797637939453125,28.558618545532227,0.0,135.0,785,785,0.00019473406629072173,OK
data/raw/POST-event/10500500E6DD3C00_0_35_63.tif,82.2590103149414,49.21155548095703,0.0,202.0,786,785,0.001596408486086125,OK
data/raw/POST-event/1040050035DC3B00_0_23_63.tif,26.43480682373047,19.551898956298828,0.0,255.0,1742,1742,0.03884973261397683,OK
data/raw/POST-event/10500500E6DD3C00_0_17_66.tif,124.08639526367188,81.03126525878906,0.0,251.0,786,786,0.004011032768098207,OK
data/raw/POST-event/1040050035DC3B00_0_19_63.tif,47.18310546875,36.947242736816406,0.0,255.0,1742,1743,0.014252186703184726,OK
data/raw/POST-event/10500500E6DD3C00_0_19_67.tif,70.91661071777344,33.68655014038086,0.0,255.0,785,786,0.0025996337174438015,OK
data/raw/POST-event/10500500E6DD3C00_0_28_63.tif,43.325927734375,22.6442813873291,0.0,224.0,786,786,0.0038281244941695963,OK
data/raw/POST-event/10500500E6DD3C00_0_43_62.tif,19.427248001098633,8.107403755187988,0.0,87.0,786,785,0.003126367481888462,OK
data/raw/POST-event/10500500E6DD3C00_0_30_62.tif,130.63426208496094,43.25452423095703,0.0,226.0,786,786,0.003813556578546964,OK
data/raw/POST-event/10500500E6DD3C00_0_30_66.tif,64.45919036865234,57.13652038574219,0.0,255.0,786,786,0.0025995636099942375,OK
data/raw/POST-event/10500500E6DD3C00_0_26_62.tif,48.204898834228516,54.061058044433594,0.0,178.0,786,785,0.01017973776762127,OK
data/raw/POST-event/1040050035DC3B00_0_28_67.tif,53.08330535888672,39.192989349365234,0.0,255.0,1743,1743,0.17402747618619713,OK
data/raw/POST-event/10500500E6DD3C00_0_40_69.tif,53.53860855102539,53.995723724365234,0.0,213.0,786,785,0.0029351226074131698,OK
data/raw/POST-event/10500500E6DD3C00_0_22_70.tif,44.541748046875,32.81489181518555,0.0,255.0,785,786,0.002544529262086514,OK
data/raw/POST-event/1040050035DC3B00_0_25_69.tif,46.85478591918945,43.20622253417969,0.0,255.0,1742,1743,0.02558767133483911,OK
data/raw/POST-event/10500500E6DD3C00_0_40_61.tif,83.25878143310547,37.33277893066406,4.0,255.0,785,785,0.0,OK
data/raw/POST-event/10500500E6DD3C00_0_33_61.tif,37.98899841308594,29.233060836791992,0.0,216.0,785,786,0.0034278212670783292,OK
data/raw/POST-event/10500500E6DD3C00_0_33_57.tif,71.92146301269531,57.581485748291016,0.0,248.0,786,786,0.005145711529372155,OK
data/raw/POST-event/10500500E6DD3C00_0_40_57.tif,2.1592049598693848,12.53014087677002,0.0,224.0,786,785,0.9640022041782143,OK
data/raw/POST-event/10500500E6DD3C00_0_15_63.tif,51.677452087402344,32.743804931640625,0.0,235.0,786,785,0.0013370934020518305,OK
data/raw/POST-event/1040050035DC3B00_0_15_67.tif,43.85012435913086,27.601654052734375,0.0,255.0,1743,1743,0.0059975991170649326,OK
data/raw/POST-event/10500500E6DD3C00_0_39_63.tif,10.784862518310547,4.698910236358643,0.0,98.0,786,786,0.005765657271979747,OK
data/raw/POST-event/10500500E6DD3C00_0_39_67.tif,27.08761978149414,17.791162490844727,0.0,145.0,785,786,0.0025947715596181587,OK
data/raw/POST-event/10500500E6DD3C00_0_37_62.tif,29.489641189575195,12.773321151733398,0.0,131.0,786,786,0.003866972269163284,OK
data/raw/POST-event/1040050035DC3B00_0_21_66.tif,82.15505981445312,41.05297088623047,0.0,255.0,1742,1743,0.0019826723656970018,OK
data/raw/POST-event/1040050035DC3B00_0_22_69.tif,36.65422821044922,24.970638275146484,0.0,255.0,1742,1743,0.013518729666904455,OK
data/raw/POST-event/10500500E6DD3C00_0_25_70.tif,85.13219451904297,84.0760269165039,0.0,255.0,785,786,0.0052397854167679616,OK
data/raw/POST-event/1040050035DC3B00_0_18_65.tif,59.43268585205078,30.115806579589844,0.0,169.0,1743,1743,0.002216554110878396,OK
data/raw/POST-event/10500500E6DD3C00_0_34_61.tif,33.55666732788086,23.59322166442871,0.0,246.0,785,786,0.002491045526004441,OK
data/raw/POST-event/1040050035DC3B00_0_16_68.tif,38.765625,27.092397689819336,0.0,156.0,1743,1743,0.005046001562186785,OK
data/raw/POST-event/1040050035DC3B00_0_22_65.tif,57.41746139526367,32.67930221557617,0.0,216.0,1743,1743,0.008291834660994606,OK
data/raw/POST-event/10500500E6DD3C00_0_28_59.tif,33.81559753417969,15.706850051879883,0.0,158.0,786,786,0.003891252128534338,OK
data/raw/POST-event/1040050035DC3B00_0_18_69.tif,38.23102951049805,28.931861877441406,0.0,198.0,1742,1743,0.0091008613756321,OK
data/raw/POST-event/10500500E6DD3C00_0_43_58.tif,32.169437408447266,44.25786209106445,0.0,255.0,785,785,0.4773110471013023,OK
data/raw/POST-event/10500500E6DD3C00_0_42_60.tif,40.956180572509766,19.51358413696289,0.0,141.0,786,786,0.005108482411669872,OK
data/raw/POST-event/10500500E6DD3C00_0_29_61.tif,33.071266174316406,15.258537292480469,0.0,138.0,785,785,7.951641040204471e-05,OK
data/raw/POST-event/10500500E6DD3C00_0_27_64.tif,30.264780044555664,11.591511726379395,0.0,102.0,785,786,0.0012738853503184713,OK
data/raw/POST-event/10500500E6DD3C00_0_31_60.tif,44.79609298706055,32.66090774536133,0.0,255.0,786,786,0.005147330186663559,OK
data/raw/POST-event/10500500E6DD3C00_0_35_59.tif,83.54322052001953,63.708736419677734,0.0,226.0,786,785,0.0013306105249509732,OK
data/raw/POST-event/10500500E6DD3C00_0_29_65.tif,229.5622100830078,44.63320541381836,0.0,255.0,786,785,0.002544529262086514,OK
data/raw/POST-event/10500500E6DD3C00_0_27_68.tif,153.045654296875,79.41888427734375,0.0,255.0,786,786,0.003813556578546964,OK
